state,x,y
Andhra Pradesh,-75,-202
Arunachal Pradesh,271,124
Assam,239,75
Bihar,76,58
Chhattisgarh,-8,-42
Goa,-190,-193
Gujarat,-244,-6
Haryana,-138,146
Himachal Pradesh,-118,224
Jharkand,65,5
Jammu and Kashmir,-137,286
Karnataka,-156,-206
Kerala,-137,-306
Madhya Pradesh,-93,-3
Maharashtra,-150,-91
Manipur,263,36
Meghalaya,203,54
Mizoram,239,-0
Nagaland,277,68
Delhi,-118,135
Odisha,47,-64
Punjab,-158,190
Rajasthan,-201,84
Sikkim,138,106
Tamil Nadu,-90,-303
Telangana,-81,-134
Tripura,212,10
Uttar Pradesh,-44,97
Uttarakhand,-72,176
West Bengal,122,-10
